상품명,가격,배송비,url
애플 Apple 아이폰 16e 128GB 미개봉 새제품,"440,000원",배송비무료,https://cr.shopping.naver.com/adcr?x=1nlGZ6rp53Qcoewwonwuav%2F%2F%2Fw%3D%3Ds3TH2KgaN%2B0yDIq78KyJRkSxZcvrUPzk97ASbS4kXSCByoYErd7Wx1dfdVO6hh7qVWqcakLpXtRawlDAsXGuV6sKdlAuo4CRofAy%2FiHp8jqv8RtWXQ%2B4yWv%2FzzZujOpoj4PUi63nYvR32pKvWvg99Ppl0mKBbPIsYtpifG%2FYeCIKSib83KJRrVoUMfncOtfChyaxxRm4H8HcYDi0B3B3iQmfQT7uWwvxdz8nMvhXCKF36a1IbrOU94c1aiygYUf%2BvMFUn%2F8yvRW0mJNKgzb5cyhKy3LoYl2rVajvOxbF9h7C54J8UO7LDGXdPU9Do8oyMXmq0wb8nQ9S1CNyVqQgAyGes1800g0ET2C09aQMDd2rOY3Zl59jNNefyRb5L%2F1wGK98KaIZa4VBE0V5wqYGSTjVJ%2BSGlh2KUvwCM3Rlc7azPGbKfX3ZgUYyLdP8Xe2N1OeKKCvaJI6vWUpmsLG1Er46kR9B9fRd4GmyzFzwRQA63SAOtGugCaj%2Btkz5nmRhdZaiaIox0SVFNjM0Ih3pOkSCNqfgGLgHh59cZXu8636FbCy0Hjavh68gcIOcIsrLinn2DODXq%2FEBbar8%2Fnmak%2B7vLpRIG3eQ6O6h0NNAJiw4HvBF0nBZvKEqaScueqORKKYTOF5KsHq%2BigGAc1pAeZzQmJ6rIfC1JG%2FbsKipoqYaj%2BbAzRntp0FPhCj%2FNEHdWh1nOP1Q0CLrLaeU76PlnS2hopkeKUdu5q4dSKA0zkoA%3D&nvMid=89877627274&catId=50001519
[대여] 애플 17 프로 아이폰 대여 렌탈 합정 잠실 서울역,"29,600원",배송비무료,https://cr.shopping.naver.com/adcr?x=SQG7DHqd48ul7ErOtbkwzP%2F%2F%2Fw%3D%3DszQuIhR93aH3aoP%2Fgx%2B%2BMs2U6JGRad8ekE6qQ%2Bbe49NNyoYErd7Wx1dfdVO6hh7qVlTJHQZoQMNKv%2FLqKPAvUlcKdlAuo4CRofAy%2FiHp8jqv8RtWXQ%2B4yWv%2FzzZujOpoj4PUi63nYvR32pKvWvg99Ppl0mKBbPIsYtpifG%2FYeCIKSib83KJRrVoUMfncOtfChyaxxRm4H8HcYDi0B3B3iQmfQT7uWwvxdz8nMvhXCKF0oyQ0fzbU1Rctud7qIKtJ%2BMFUn%2F8yvRW0mJNKgzb5cyhKy3LoYl2rVajvOxbF9h7C54J8UO7LDGXdPU9Do8oyMXmq0wb8nQ9S1CNyVqQgAyB25WfvSb4BU7OdTdeByESzhp8SuyRZwJWlcFmMJwEOPAeuQKgRq6z4fGpaOnMSDdjVJ%2BSGlh2KUvwCM3Rlc7azPGbKfX3ZgUYyLdP8Xe2N1OeKKCvaJI6vWUpmsLG1Er02y8Xnj6WSoG8vrUznweE%2FtVsKqjh2Rw9DjttUHdCQfkJoTsxWbKVl2IZeEmkGMxhoSxZnqdamBvFzo2%2Frrs40xqVndBejxaJ%2Fbp0AshlJ3%2FeOv6VW35j6rhwLfl8EGQpi2RVrQZig%2FNg0qC%2FK9dkg9jwI207JRMWZoqOSRGaJ13%2BX4LAwdJ0Aih3yWL8zyWhCMirINs7hXq0tHh0ZTR8e0ORRFo8IZVusitFJhT9WK%2FlIMmJjJAWPs%2F6FdHP2m8Jz5zoH92w5EDj9U2H8vLINXc50eBITwugSNPH3Ok09sVpGw61BSdoQRvEGgfFlc5w%3D%3D&nvMid=89926920107&catId=50000249
아이폰 17e 256GB [자급제],"최저990,000원",배송비무료,https://cr.shopping.naver.com/adcr?x=CouJRJmg%2B14ksUtL59Bth%2F%2F%2F%2Fw%3D%3Ds%2FDxPOlvcfFrEkz9%2FkWOnewvFoWFdAL1nEJjVsXJuLCLxTAJR5s3V3RheLYZrm3hT%2B%2F0dImDw140Dcr77gSBWIWg6HabDTRx466CGciRiUnFBZuMfzSBinsMMtj7lqMfUYAGnabJYbZYHgBF8bkQKY8%2FlzflRdJQ%2BkXwZsB%2BkvqT21AVZ87JtLtYpyDP5g340334rL%2BbR36BhYe0R%2FrUmjkI1yUrC8vID%2FKz%2F8c89qMu2J2cmJGDnOTQy7V0rAAlZY2ZxuAuvSW7ZwIsaDJftz694IFlqpi2PXO88uXmhtpGPQm5h9eTHD3%2FCiC64I4qSIYcO%2BwZChQd38bYTPmzUgD9rXyqENDUD8omnd%2BAEOivf3Vb8LXDlJWzaxi1N0VJ6WhukfueeD1IW449bcBlsilC8IvS%2BNPsEPJ7D6mlNi%2F5xE2%2BaQKQZMQadDGOBAZIqj4yxGOLtcPCRYjc61c3hp1BkD6%2B7%2B1m9Ne3jOyRW8VncU%2B7A78%2BwTEHCkQSveeODsm6k0GjuCWiB6IHvDA5%2Fkz6FURihOvVNK6%2BarovFEXak5Veu6YTQhhahVu5gYc%2BVuMFihqmcAXBi1MZ7yjrZ33UjwQMKHmfZEGs9R%2F5gzgEJjxD98W5UBqLE2bjkRxY%2FKYQAo14bglY5s5424%2FxgQosDmkZcudfONpsfOeGl3UBRN64mBm9G8QruBkLDcHT6935J4zAHYDBb3kPyAY3fMYDO%2Fh6%2FyRI5FMbE3b2mPNVvU2Y6hEEwGxc1AZfON9sL4VRAH%2BsMDObarUodGweR8Q%3D%3D&nvMid=59125506333&catId=50001519
아이폰 17 512GB [자급제],"최저1,526,400원",배송비무료,https://cr.shopping.naver.com/adcr?x=VQ2g7Kjyh5qkSsfs3njcX%2F%2F%2F%2Fw%3D%3Dsg%2BToA8b4xaPlMCEpvNy52TxMOpSPuGrzOteiSGjFHsoAjU5j3gjlMYsRq8%2BGHFpSjIxsBtYowXYqi%2BqcqlH3KDXJD0NsZoE8wg%2BLc2SvDZhHRaISaXjSXtxpkOUV9xcVXkK3xc5fHrGPnpRGpBeDxJVaHwioLzGptDWiVJ0VtwQzMrWs8QmGnuG4vaPOIxF%2B2h%2FqNbmMd3P9tE5jamCbKQuIB8ncdehaYvLTVmrbJlEb4AmSOzqUyzzvb5VZYY6%2BCb3k2P9GsyYcLETHoLzpIeE8YCiibN06F7pXXqOPTLDvbrwgYBBdB4JVo8Uf8huUBcADYWCr%2B6sOsNmD1ECQg8OmY27ZGze0Q%2BtXRlM4OxtarJoVrbEtunAYIkKGowOq3%2FzujIK5SXOMs8qwNeLnC8nFrN04wx1b%2BHNUqrF7rbkbV9SohnsJOp40F4RSK4iNOWCmEveL9T%2FtOtbJGkC2L%2FkGmTYGCRxyniCPIX0LcGkHWDYqfV%2FTP8ip8qKhVk2d4mw1mjxyL%2BDjgEGghafMeOswbesKz4mDGx42CAgpZD9KsaK6szvgRo5X5XC1HnWy3xzjm7%2BT18JQAeOeiVR%2FXAnrPi2U4bJlb1h8%2Fb7weIgP%2BMgM7ME3oHpf%2BfRM68836luW%2BPM3pnmTV2j%2FlQaQncXv9ZbmWlLnRp8oc3%2B0dRRgHYB%2BP8G7M4%2B7%2FXEqLhJQv4YGjJCSIW1IvBxXT1wG99m7Z60%2FbFA9HVMQsu0NXbbw1Kw%2B1x8GHJUPajMW7qriDhLBwu%2FFQS5xWYf5w6G3jQ%3D%3D&nvMid=56642218976&catId=50001519
Apple 정품 아이폰 16 자급제,"1,150,000원",배송비무료,https://cr.shopping.naver.com/adcr?x=ZYnD0Cwti8qQCUh8J0Slw%2F%2F%2F%2Fw%3D%3DsojbvYK49TNSHsSvg0Gvm3b7f9ylfBx1%2FZM5ktejzodbxTAJR5s3V3RheLYZrm3hTuvrtbEhflgQvjAdkJyqnZmg6HabDTRx466CGciRiUnFBZuMfzSBinsMMtj7lqMfUYAGnabJYbZYHgBF8bkQKY8%2FlzflRdJQ%2BkXwZsB%2BkvqT21AVZ87JtLtYpyDP5g340HNZtQ%2FiGx%2BQOIyH96Kmut2E6W4nW1ZBCJdFOCy3XN8wGzeLpYzXKylPfNPIwVklAklnFx%2BOK%2FZ12OM5oXmyo%2FrNZ0VU37VcdgTdzSFS0KJIWEea8lON7BVww%2BVCYs2aJzNpWdDZgZjgHBCxFwleabTeCsheERqGwH1oTQDVlLMPFTsoJC617iO9rmkyINrn%2FSot9c4yCeYWUpjHY21FLb0l5t7C8StJJh1bisxCSi3BVXemfpmeX70wC2wQT5nyi5pxiwDZPU40LYzhHX%2FcRv2amIpLS8b9GZhZ1bD4Oc5U9jN5iNHI88v5AjErbH%2FKQzjjcPhnQ4aXZmKCZFjijQp2QsXGo5W2KVndWf5itgRQv9joyzj5myO3cybtTM%2BC7qFz57rh2%2BO1Us6%2BFBDpj2lFTxIKAdvTAouOzwYq3XDDIM5pGOh8N6xBWKdSYIVi%2FEmsuYiLskO%2FUkXmU%2FcPcQXg03GkCTRGLhWvot9K%2FxUm39oXL7ewX99GeM97bkSD%2BZ4wnsSOJEz0ANTRCN6GxMp43ISnXmO87UAfh0%2BbLwhLTn%2BIvcxawVxNuePP9ktetan5HUxG2bcOxDdlEHMXKTOIs8PI11ju%2F1jlkHybsJe6DG554kJfPE%2BSUp9tUm1kTBq7h9PA5SrIXrcWPClBGWw%3D%3D&nvMid=55291676020&catId=50001519
아이폰 17 프로 256GB [자급제],"최저1,790,000원",배송비무료,https://cr.shopping.naver.com/adcr?x=HxDnZBqITwyMhwDWpLN3%2B%2F%2F%2F%2Fw%3D%3Ds8Re7cvUC0xBGNc%2B4MbpVIetzD8yMnUuNlRVRULQvGCVyoYErd7Wx1dfdVO6hh7qVl3WIAd5z61abLpj8Ls8J98KdlAuo4CRofAy%2FiHp8jqv8RtWXQ%2B4yWv%2FzzZujOpoj4PUi63nYvR32pKvWvg99Ppl0mKBbPIsYtpifG%2FYeCIKSib83KJRrVoUMfncOtfChhmeWtJmvw8M90EK%2Bzy5a114nEdwofithSFzlLG8az9DdhAl%2BI7modr4PZWu325tUIk7uNvEAL%2BEcmclsT2kPbblIRP%2BZOH7CveIqcMav0VHx2dvylfym6qKnZtncbvPAMWit%2FicZSA%2FCK%2Fne362WaoBsJjzV%2F3vl5Lmd9HbkUGI%2FzdYC%2FwYAihDQzAs9Z5v94MBhiD7VNpIqt9Cxm3ri6bNoujdiiNe5Aky91pn4j%2FKFvIJJK89HyB%2F1VSF9qpB8yDBkuv0wA6i2HOGZQgbbkymdfCMqN6LDkaOj%2BD69Y8NfsabvysfBCSUNvPEzyRWAgSdMlDPYg2NnmwyFpZsgOWNOrmAXsJMJds2W0JY8YXsEc05LTibBt%2FawtKKLwCqneeB52T5DDyXWzxEJZpo2%2ByOCcokyWX5Du%2FLDhkAEqN%2BZxIeMXePYqQdVUXIrU%2FB%2F%2B%2Bi3CmW7ISZqAwwcqYV182WQpyIwpILGPleBAT5u5bDjG6PR9HVA6uUj88wwjGepEaThcwm2jOjlPe7qD4n4662hSMMx6UWAU1df1sd7KOhDmLtC48e0yhetItrN3l1IzY6of2Xpggjm6A4Z8HgJhg%3D%3D&nvMid=56666065238&catId=50001519
SK 기기변경 애플 아이폰17프로 512G / iphone17 Pro,"1,440,000원",배송비무료,https://cr.shopping.naver.com/adcr?x=zBkMGkNGjJl4og98Z5Fjy%2F%2F%2F%2Fw%3D%3DsrlsH46bHwVP1NSev%2BH3DCVy%2BPXo1Q7NCm02kp9FT0KPxTAJR5s3V3RheLYZrm3hTDZdQfbUsQB%2B7M19nocZ2dWg6HabDTRx466CGciRiUnFBZuMfzSBinsMMtj7lqMfUYAGnabJYbZYHgBF8bkQKY8%2FlzflRdJQ%2BkXwZsB%2BkvqT21AVZ87JtLtYpyDP5g3402qqp1XNIAFe3%2Fk5gPxIsHLL7oh4VZdlChKy1%2Boh76B2S7FN4peW5t0CB9uPtn3EwHcVl7mMylRVjy32mkTPV0ZWypKyEhUUhWy%2FEEoDeokBJebewvErSSYdW4rMQkotwVV3pn6Znl%2B9MAtsEE%2BZ8ouacYsA2T1ONC2M4R1%2F3Eb%2BUe8Q3H31O8I%2BIsdlS2G%2F9phENvPw%2FV3zaYsRImhgoCIamgpY5cy1dhiurObfblOo1SfkhpYdilL8AjN0ZXO2szxmyn192YFGMi3T%2FF3tjdTniigr2iSOr1lKZrCxtRK%2BW%2BQKPy3UhY1TRiBqWG5ByWQL4pBI5DJ2KjWfAaicZ4G%2BYLrl90gezS5%2BL2N1nwx72wYU9XV%2FI2wdafhpIjM3cFuym0eZ0OmGrYibZj%2BIXO8508hhE1uqApbwXKiT6BGk8Pe5KqL3pYzDmfV%2FCug%2FoJ50grcTcnUzar4KLvDN6hOIzYPKJJnISQXmjUsnHKmhlNzdJFgkoR1MOL3Zb6EWFpmlyQ5yUuQ892dyixmea3rFeUQ2IBbY7JT4LeE1pIn%2Fke%2FVP%2BgM94BPZkP5YJ%2Bex&nvMid=57170283301&catId=50000246
아이폰 17 256GB [자급제],"최저1,237,980원",배송비무료,https://cr.shopping.naver.com/adcr?x=NCCfpGAKCFcaTZUS1QjGnv%2F%2F%2Fw%3D%3Ds9MnEYts5KZeqFLrfk2UboCRYwWiKreRdfgtHz0Pj8psAjU5j3gjlMYsRq8%2BGHFpSsTVikWEJSNAsQdMOAHYVCTXJD0NsZoE8wg%2BLc2SvDZhHRaISaXjSXtxpkOUV9xcVXkK3xc5fHrGPnpRGpBeDxJVaHwioLzGptDWiVJ0VtwQzMrWs8QmGnuG4vaPOIxF%2B2h%2FqNbmMd3P9tE5jamCbKQuIB8ncdehaYvLTVmrbJlFlgwnY10jeH1vd3Jmfq4COf9rpZnXyjVrh4zFZymw2IOE8YCiibN06F7pXXqOPTLDvbrwgYBBdB4JVo8Uf8huUBcADYWCr%2B6sOsNmD1ECQg8OmY27ZGze0Q%2BtXRlM4OxtarJoVrbEtunAYIkKGowOq3pMCc4HXNoRCXBLqFhI1EcnFrN04wx1b%2BHNUqrF7rbkbV9SohnsJOp40F4RSK4iNOWCmEveL9T%2FtOtbJGkC2L%2FkGmTYGCRxyniCPIX0LcGkHWDYqfV%2FTP8ip8qKhVk2dG%2BBOJQytziAM7IONf%2BYi%2FZOPCqxXaeseih1v7Fuw0kFKsaK6szvgRo5X5XC1HnWy5eEE6MXJ2VCvLfjYbp3%2BrHqO%2FJJZ0C6p0MGfnHM5LggP%2BMgM7ME3oHpf%2BfRM68836luW%2BPM3pnmTV2j%2FlQaQnXP8Al4W0pDfsgGZ911u4K6xhyEwLYiv%2BcTT2yAHTupOv4YGjJCSIW1IvBxXT1wG97wf%2BEgcdbUPQF%2BATIB3K1Lw1Kw%2B1x8GHJUPajMW7qriDhLBwu%2FFQS5xWYf5w6G3jQ%3D%3D&nvMid=56666632837&catId=50001519
Apple 아이폰 17 프로 자급제 256GB - 실버 MG8G4KH/A,"1,790,000원",배송비무료,https://cr.shopping.naver.com/adcr?x=BNm%2BJVA0lH9vOcldWRVEhf%2F%2F%2Fw%3D%3Ds5fyA46SglfVkGpOGtnaaoab456J77sEu%2FUINwPx1OLtyoYErd7Wx1dfdVO6hh7qVvKNWFkopckQMJqHR5SGg%2BMKdlAuo4CRofAy%2FiHp8jqv8RtWXQ%2B4yWv%2FzzZujOpoj4PUi63nYvR32pKvWvg99Ppl0mKBbPIsYtpifG%2FYeCIKSib83KJRrVoUMfncOtfCh2VNqRRUOojs5WUX%2F32yb5RUWkZ5On5BVeI8cTEGmUZvnx8Aid%2BWslEVnY5aE%2BDqCXKZCv1TI3VO3ykBR859%2F1rt%2BCGdxkcJBKYAQS0VI%2BE0hluH2kw5IEIAuXNnO13ke04kOs4eSY0WncLq1f%2B0if%2FOlIutnUpvB%2F6qNTiqijLXPDJqdfGgH2ypOECyamBth6UmaV3ry3W5fY0%2BX9nBIuAeL8mDjug0MMBKQwp4NOEHBz7%2BORHa%2BX777%2F5U82WuFtw%2FxhWLOzVOefuiOYPXy7A5SI5JDJaVXW%2FXjWxMUPnddrU9gBvTOY8XVxGgpGxxdyDnQHRCYofERVOP5kax9toTYUQgmzb%2FfRMteK6rorPB%2B1j60M7qan67PbZ1ciGMSk9HH6j4t14Z2rj2l3RPy9ePIh%2FfSFpiTYIgRe81vqCRLQe74TsdJ8UiO2Ys4UCfLjeP22qwxrpWe5yPpU7pLmPpJBiNIhUx1McfXThEm16V9Drp9XKHBqfxFGZmPO9iVZehjnOF4EI64COfVO56ZKW0VZM9TauaDluI1oQ7FjgKdEDXE1qd%2BhNwiE8oBrPD7KYTOF5KsHq%2BigGAc1pAeZ3gcqZslbqNYNFoj3fS%2BmqpY5n%2F%2Bwhkr50Bs8CCi78TB11SkXvPxCFL9O%2FobcETkVA1QmAmnoJRdq4K9btjkCM0%3D&nvMid=59278488268&catId=50001519
Apple 아이폰17프로맥스 512GB Apple 미개봉 새상품,"1,160,000원",배송비무료,https://cr.shopping.naver.com/adcr?x=m9fVRF1Z0bSWD%2BAKTRBbgf%2F%2F%2Fw%3D%3Ds8cLplvJVMse5SY3NHA6%2FMby6i3TNKf0E%2FsquqCqURFsAjU5j3gjlMYsRq8%2BGHFpSs5Zli2hHhzC%2BS5zxnq%2BLNzXJD0NsZoE8wg%2BLc2SvDZhHRaISaXjSXtxpkOUV9xcVXkK3xc5fHrGPnpRGpBeDxJVaHwioLzGptDWiVJ0VtwQzMrWs8QmGnuG4vaPOIxF%2BhNAWEw0JCsb7LJXBJqKWV9015zgK%2BP5r4ZCysDfiDpWFUtACWzp6LMBZ0dIKHtEQTO4eKCGvoVNEVI5YqLOyiEl5t7C8StJJh1bisxCSi3BVXemfpmeX70wC2wQT5nyi5pxiwDZPU40LYzhHX%2FcRv0R8yU2PX41sw1BxV0JdIyL2ysmO5WNZ%2BYKLPcbhRC%2B%2B2HvQrG1q57G6KIPveES%2FyAhKKmWSJPixK56sWAwNEKLq61vLlcYMw6tTRbhJvg%2BNweb4%2FvIploMD57PmrbcZw7j6irbwTXYrdmMTXUr9BRd3wvbM5pPKTpOWi7G7WnbQnBA%2BJt3g4D93rxGhz3WkBFoCVzibSDWI%2FqPRhI9f0Px14VrGcRkvOv7y1iigF3rbZpwld0o62%2B6BeXAKgaxeSDulBXMG7WVUNNGPsx5675eqhTSYnhPgKTFCHjm3XLe56%2BKcpvotubGGz306aVrP0HR9INs9ZpxiOekV5%2FkbMXEZo3HzwP3iZRtDEoO4GlN%2BN5CUJZ1yi%2FmJH%2BDmDRsRRiNutpnkuHazHeEda6YzDU%2FLVWGr8fvvH1mWvUgXPK6j&nvMid=90912314913&catId=50001519
