title,contents
"유럽 주방 파고드는 'K-빌트인'…삼성·LG 신상 가전 ""총출동""","삼성전자, AI 기반 고효율 가전 강조LG전자, 빌트인 패키지·SKS 이원화지난 21일(현지시간) 이탈리아 밀라노에서 열린 삼성전자 가전 기술 세미나 '더 브리프 밀란'에서 참석자들이 '비스포크 AI 패밀리허브' 냉장고를 체험하고 있다. 사진=삼성전자 제공삼성전자와 LG전자가 유럽 빌트인 가전 시장 공략에 속도를 내고 있다. 삼성전자는 에너지 효율을 앞세운 빌트인 AI 가전으로, LG전자는 유럽 전용 빌트인 패키지와 초프리미엄 브랜드 'SKS'를 앞세운 이원화 전략으로 승부를 걸었다. 23일 업계에 따르면 삼성전자는 최근 이탈리아 밀라노 법인 쇼룸에서 현지 주요 미디어와 인플루언서를 대상으로 가전 기술 세미나 '더 브리프 밀란'을 열고 고효율 AI 가전을 소개했다. 회사는 지난 21일(현지시간) 에너지 효율을 중시하는 유럽 소비자 특성에 맞춰 세탁·건조기, 주방가전의 절감 성능과 스마트싱스 기반 'AI 절약모드'를 강조했다. 세탁가전에선 유럽 에너지 소비 효율 기준 A등급 제품군을 전면에 세웠다. '비스포크 AI 세탁기'는 세탁물 무게와 종류, 오염도를 AI가 감지해 최적 코스로 세탁하는 'AI 맞춤세탁+' 기능을 갖췄다. A등급보다 에너지 사용량을 65% 더 줄인다는 것. 스마트싱스에 연결해 'AI 절약모드'로 작동할 경우 최대 70%의 에너지를 추가 절감할 수도 있다. '비스포크 AI 건조기'와 일체형 세탁건조기 '비스포크 AI 콤보'도 A등급을 충족했다. 절약모드를 작동하면 건조기는 최대 20%를 절약할 수 있다. 콤보는 세탁 기준 최대 60%, 건조 기준 최대 30% 에너지 절감 효과를 낸다. 유럽 주거 공간과 자연스럽게 어우러지는 빌트인 디자인을 갖춘 주방가전도 선보였다. 이번 행사에서 공개한 '후드 일체형 인덕션'은 유럽 에너지 효율 A+ 등급을 지원하는 신제품이다. 인덕션 중앙에 후드를 넣어 조리 중 발생하는 연기와 냄새를 제거하도록 설계됐다. '비스포크 AI 식기세척기'는 유럽 에너지 효율 A등급보다 20% 더 높은 절감 성능을 갖췄다. 냉장고 제품군에도 효율·공간 활용성이 강조됐다. '비스포크 AI 냉장고 1도어'는 '스페이스 맥스' 기술을 적용해 콤팩트한 외관을 유지하면서도 387L 용량을 확보했다. 메탈 소재와 'AI 정온' 기능으로 냉기 보존과 온도 변동 최소화를 내세웠다. '빌트인 상냉장·하냉동(BMF) 냉장고'는 최대 298L 용량을 제공한다. AI 절약모드를 사용하면 최대 15% 에너지를 절감할 수 있다. '비스포크 AI 패밀리허브' 냉장고도 21.5형 대형 터치스크린과 내부 카메라 기반 'AI 비전' 기능을 갖췄다.LG전자가 이탈리아 밀라노 디자인 위크에서 처음 선보인 유럽 전용 LG 빌트인 패키지 제품을 살펴보고 있다. 사진=LG전자LG전자도 밀라노에서 열린 '유로쿠치나' 무대를 통해 유럽 전용 'LG 빌트인 패키지'를 처음 공개했다. 오븐, 인덕션, 냉장고, 식기세척기를 하나로 묶은 종합 주방가전 솔루션을 선보인 것이다. 이는 본고장인 유럽 프리미엄 빌트인 시장을 노린 제품군으로 꼽힌다.유럽은 1920년대 독일 프랑크푸르트를 계기로 빌트인 주방이 보급된 이후 글로벌 빌트인 가전 시장의 본고장으로 자리를 잡았다. 전체 시장 가운데 약 40%를 차지하는 최대 시장이다.이번 패키지는 공간 효율과 에너지 성능을 중시하는 유럽 고객 수요를 반영해 구성됐다. 오래된 주택과 구시가지 비중이 크고 상대적으로 주거 공간이 협소한 유럽 시장 특성을 고려해 20인치대 제품군을 구성했다.좁은 공간에서도 편리하고 안전하게 쓸 수 있도록 힌지·방열 기술을도 강화했다. 가전과 가구장 사이 여백을 최소화하고 돌출부를 줄인 '심리스' 디자인을 적용했다는 설명이다. 전체 구매뿐 아니라 이사나 리모델링을 할 때 단계적 교체도 가능하도록 설계헸다는 특징도 있다.LG전자는 이 패키지에도 AI 기반 효율 기능을 대거 탑재했다. 식기세척기엔 'AI 센스클린' 기능이 들어가 디지털 탁도 센서로 오염도를 분석한 뒤 물 온도와 헹굼 횟수, 세제량 등을 자동 조절한다. 냉장고엔 'AI 프레시' 기능을 적용해 사용 빈도가 높은 시간대에 맞춰 온도를 선제적으로 조절하도록 했다. 회사는 식기세척기와 냉장고가 유럽 에너지 효율 최고 등급 A등급을 웃도는 에너지 성능을 확보했다고 강조했다.삼성전자와도 결이 다소 다르다. LG전자는 이번 'LG 빌트인 패키지'와 초프리미엄 빌트인 브랜드 SKS를 함께 앞세우는 '듀얼 트랙' 전략으로 유럽 프리미엄 시장을 공략할 계획이다. 북미에서 경쟁력을 입증한 30인치 이상 SKS 제품군을 유럽으로 확대하고 1인 가구·맞벌이 부부 등 다양한 라이프스타일에 맞춘 패키지 제품군을 기반으로 고급 주택 건설사·다세대 주택 개발사 등 B2B 고객 공략에도 속도를 낸다."
"코스피, 다시 6430선 강보합...개인 Vs 외국인·기관 힘 겨루기[fn오후시황]"," [파이낸셜뉴스] 코스피가 23일 사상 처음으로 6500선을 돌파했으나 상승폭을 100p 넘게 반납하며 6430선으로 밀렸다.  이날 오후 2시 46분 현재 코스피는 전 거래일보다 19.35p(0.30%) 오른 6437.28에 거래되고 있다.  코스피는 전 거래일보다 70.90p(1.10%) 오른 6488.83 개장했다. 장 초반 파죽지세 격으로 올라 장 초반 6500선을 돌파했다.  지수는 사상 최고점인 6557.76을 기록하기도 했으나 외국인과 기관의 매도세에 상승분을 반납했다.  국내 유가증권시장에서 개인은 1조355억원어치 사들이는 동안 외국인과 기관은 각각 7314억원, 2572억원어치 팔아치우고 있다.  시가총액 상위 14개 종목 중에서 삼성물산(5.15%), 두산에너빌리티(5.09%), 삼성전자(2.53%), 삼성생명(2.42%) 순으로 강세를 보이고 있다.  반면 삼성전기(-5.05%), LG에너지솔루션(-4.13%), 삼성바이오로직스(-2.88%) 등은 내림세다.  코스닥은 전 거래일보다 10.38p(0.88%) 내린 1170.74에 거래되고 있다. 이날 지수는 전 거래일보다 7.98p(0.68%) 오른 1189.10에 출발했다."
"""성과급 더 달라"" 삼성전자 노조 '세 과시'…성과급 쟁의 대상 아냐","법조계 '성과급은 쟁의 대상 아니다'…노조 총파업, 명분 잃나""안전보호시설 유지·운영 노조의 의무""…안전 우려에 주민 '불안'삼성그룹 초기업노동조합 삼성전자 지부 조합원들이 17일 서울 삼성전자 서초사옥 정문에서 과반노조 공식 선언 기자회견을 하고 있다. 2026.4.17 ⓒ 뉴스1 김도우 기자(서울·평택=뉴스1) 박기호 박기범 기자 = 삼성전자(005930) 노동조합이 성과급 상한 폐지를 요구하며 투쟁 결의대회를 열고 파업을 예고했지만 성과급은 쟁의 대상이 아니라는 지적이 나온다. 특히 노조가 총파업을 예고했지만 현행 노조법에서는 안전보호시설 등은 운영을 방해하는 것을 금지하고 있다.노조의 집회와 집단행동에 대해 명분이 부족한 것은 물론 노동3권 보장의 취지를 넘어선 행위라는 비판이 더 거세질 전망이다. 노조, 결의대회 열고 삼성전자 압박…법조계, 성과급 쟁의 대상 아냐삼성전자 노조는 23일 경기 평택시 삼성 평택캠퍼스에서 투쟁 결의대회를 개최했다. 노조원 3만 명 이상이 참석한 것으로 알려졌다. 삼성전자 전체 직원 12만 8881명(지난해 말 기준)의 25%가 넘는 수준이다. 노조는 성과급으로 영업이익의 15%를 요구하면서 내달 대규모 파업을 예고했는데 이날 결의대회는 사측을 압박하기 위한 경고성 행보다.노조의 성과급 요구를 기반으로 한 결의대회가 현실화하자 법조계 등에선 파업의 명분이 부족하다는 반응도 나온다. 경영 성과급은 쟁의 대상이 될 수 없기 때문이다.최근 대법원은 삼성전자 퇴직자들이 제기한 소송에서 ""성과 인센티브(OPI, 과거 PS)는 퇴직금 산정의 기초가 되는 평균임금에 해당하지 않는다""고 판결했다. 대법원에 따르면 성과 인센티브는 근로 성과의 사후적 정산이 아닌 경영 성과의 사후적 분배로, 임금이 아니라고 했다. 대법원은 이전에도 ""근무 실적과 연동되는 '순수한 의미의 성과급'은 일반적으로 근로의 대가라고 보기 어려워 통상임금에 해당하지 않는다""고 판단했다.전문가들은 노조가 성과급을 놓고 생산 차질과 막대한 경제적 손실을 감수하는 파업에 나선 것은 노동3권 보장의 취지를 넘어선 '과도한 쟁의행위'라는 비판을 피하기 어렵다고 평가하고 있다. 쟁의행위는 근로조건의 유지·개선을 목적으로 해야 하지만, 임금이 아닌 '이익 배분' 시스템을 바꾸기 위해 생산 라인을 멈추는 것은 정당성을 확보하기 어렵다는 것이다.이에 삼성전자 노조가 이번 결의대회를 시작으로 내달 파업을 강행하면 법적·윤리적 책임을 피하기 어려울 것이라는 전망도 나온다.노조법, 보호시설 유지·운영 방해 금지 명문화…공장 운영 차질 없어야   당장 삼성전자는 비상에 걸렸다. 다수의 반도체 공장 직원들이 근무지를 떠나 결의대회에 참석했고 비조합원들은 노조의 눈치를 보느라 휴가 등을 내면서 생산라인 인력 이탈이 심각해졌기 때문이다.이에 삼성전자는 최근 사내게시판에 '안전보호시설 유지·운영'의 필요성을 설명하는 공지문을 올리고 반도체 사업장의 안전보호시설 등에 관여하는 직원들만이라도 정상적으로 업무에 임해 달라고 요청했다. 만약 반도체 생산 라인 가동이 멈출 경우 천문학적 피해가 우려된다.업계에 따르면 삼성전자는 노조법에 따라 보호시설 유지·운영, 원료·제품의 변질 또는 부패 방지 작업을 수행하기 위한 인원으로 전체 직원 12만 8000여명 중 약 5% 수준을 요청한 것으로 알려졌다.노조법 제42조 제2항은 사업장 안전보호시설의 정상적인 유지·운영을 정지·폐지 또는 방해하는 행위를 금지하고 있다. 이는 권고 규정이 아닌 위반할 경우 형사처벌이 뒤따르는 강행규정이다. 법원에서도 과거 필수 유지 업무에 대해 쟁의행위 기간 중 평상시의 100% 수준으로 운영해야 한다고 인정한 사례도 있다.삼성전자는 유독성·가연성 가스와 화학물질을 대량 취급하는 반도체 사업장에서 안전보호시설의 정상 운영은 노동조합법이 정한 법적 의무인 만큼, 쟁의행위 중에도 반드시 유지돼야 한다는 입장이다. 자칫 사고가 발생하면 피해는 사업장뿐 아니라 인근 주민에게도 미칠 수 있기에 사측의 고심이 큰 상황이다.삼성전자 관계자는 ""임직원과 지역사회의 안전을 지키는 한편, 고객사 피해와 납기 차질, 글로벌 공급망 혼선, 국가 경제에 미칠 부담을 줄이기 위해 법과 원칙에 따라 대응해 나가겠다""고 말했다.반도체 산업 볼모로 국가 경제 전반 위협 우려노조가 반도체 산업을 볼모로 국가 경제 전반을 위협하고 있다는 평가도 있다. 노조는 실제 파업이 이어지면 삼성전자의 피해 규모로 30조 원에 달할 것이라고 언급했다. 반도체가 대한민국 전체 수출액의 38.1%(3월 기준)에 이른다는 점을 감안하면, 국가 경제에 미치는 악영향이 만만치 않을 것으로 보인다. 동시에 업계에선 노조의 요구가 반도체 산업의 본질과도 부합하지 않는다고 비판한다. 반도체는 매출 대비 33~35%를 설비에 재투자해야 하는 '고순환 투자 산업'이라는 것이다. 이에 삼성전자 주주들은 이날 노조의 결의대회에 앞서 평택캠퍼스 인근에서 노조의 성과급 요구를 강하게 비판하기도 했다.한편, 삼성전자 노조는 사측이 영업이익 15%의 성과급 요구를 수용하지 않을 경우 이날 결의대회를 시작으로 내달 21일부터 6월 7일까지 18일간의 총파업에 나서겠다고 경고한 상태다."
"[속보] 법원, ‘급식 몰아주기’ 공정위 2349억 삼성웰스토리 과징금 취소","[속보] 법원, ‘급식 몰아주기’ 공정위 2349억 과징금 취소"
“파업기간 18조 손해? 그게 우리의 가치” 삼성 평택공장에 노조원 3만여명 집결,"  23일 삼성전자 노동조합 공동투쟁본부의 결의대회가 열린 경기 평택시 삼성전자 평택캠퍼스 안 8차선 도로에 노조원들이 피켓을 들고 앉아 있다. 이우림 기자           “SK하이닉스 다니는 지인은 이번에 15억 짜리 집을 산다고 하던데, 우리도 성과급 체계 개선해야죠. 평택캠퍼스에 이렇게 많은 인파가 몰린 건 처음 봅니다. 웅장하네요.”      23일 오후 12시 40분, 삼성전자 노동조합 공동투쟁본부의 결의대회가 예정된 경기 평택시 삼성전자 평택캠퍼스. 동료들과 연차를 내고 쟁의에 참석했다는 노동조합원 이모(38)씨가 한 말이다. 정문 앞부터 투쟁조끼와 피켓 등이 준비된 물품 배급소까지 400m가량 이어지는 8차선 도로는 인산인해를 이뤘다. 배급품을 받기위해 밀려드는 인파에 노조 집행부는 “사원증 확인은 생략하고 물품부터 지급하라”는 무전을 전달할 정도였다.      조합원들의 손에는 ‘투명하게 바꾸고, 상한폐지 실현하자’는 문구가 적힌 피켓이 들려 있었다. 다른 한쪽에서는 ‘성과급 투명화, 상한 폐지’가 적힌 별 모양 풍선을 나눠줬다. 여타 집회와 달리 2030 젊은 세대가 주축이 된 현장에는 마스크로 얼굴을 가린 이보다 당당히 얼굴을 드러낸 이들이 많았고, 땡볕을 피해 인도에 심어진 나무 그늘에 돗자리를 깔고 앉은 모습도 눈에 띄었다.      오후 2시쯤 본격적인 집회가 시작되자 무대에 오른 최승호 삼성초기업노조위원장은 “회사는 매년 위기를 말했다. 세계 1위를 바라보는 지금도 방심하지 말라고 경고한다”며 “반도체 세계 1위를 만들고 생산하고 공정을 개선하고 밤을 새워 수율을 높인 건 경영진이 아닌 조합원 여러분”이라고 강조했다. 이어 “다음 달 파업으로 (생산을) 18일을 멈추면 18조원에 가까운 공백이 생긴다. 이것이 숫자로 보일 수 있는 우리의 가치”라고 덧붙였다.      23일 삼성전자 노동조합 공동투쟁본부의 결의대회가 열린 경기 평택시 삼성전자 평택캠퍼스에서 한 노조원이 ‘성과급 투명화, 상한폐지’가 적힌 별 모양 풍선을 들고 있다. 이영근 기자           노조의 핵심 요구안은 성과급 산정 방식의 변화다. 현재 연봉의 50%로 설정된 초과이익성과급(OPI) 상한선을 폐지하고, 영업이익의 15%를 성과급 재원으로 명문화하자는 것이다. 올해 삼성전자의 예상 영업이익이 약 300조원에 달할 것이라는 시장 전망을 기준으로 단순 계산하면, 노조가 요구하는 성과급 재원은 45조원이다.        이날 현장에서 만난 3년 차 디바이스솔루션(DS) 부문 엔지니어 홍모씨는 “작년에 (성과급이) SK하이닉스와 4배 차이가 났고, 이대로면 올해 더 격차가 심할 것 같아 쟁의에 참여하게 됐다”라며 “생각보다 많이 모인 것 같아 기분이 좋다”고 말했다. 30대 엔지니어 심모씨는 “실적이 안 좋은 것도 아니고 경쟁사 대비 성과급이 반도 안 된다는 건 상식적으로 문제”라며 “성과급이 0%였을 때도 회사를 믿고 참았다. 사람한테 투자하는 것도 투자”라고 말했다.      23일 삼성전자 노동조합 공동투쟁본부의 결의대회가 열린 경기 평택시 삼성전자 평택캠퍼스 내 8차선 도로에 노조원들이 피켓을 들고 앉아 있다. 이영근 기자           사측은 앞서 반도체 사업을 담당하는 DS 부문이 국내 업계 1위를 달성할 경우 특별 포상을 통해 OPI 상한선을 넘어서는 보상을 주겠다고 제안했으나 노조는 상한선 폐지를 주장하며 협상이 결렬됐다.       이날 오후 1시부터 진행된 결의 대회에는 경찰 추산 3만4000여명, 노조 추산 4만여명이 참여했다. 노조는 사측과 합의가 이뤄지지 않을 경우 다음 달 21일부터 6월 7일까지 18일간 파업에 돌입한다는 방침이다.      다만 현장에선 상대적 박탈감을 호소하는 목소리도 흘러나왔다. 집회 한쪽에서 발걸음을 멈추고 쟁의 현장을 지켜보던 삼성전자 반도체 공장 건설 인부 신모(53)는 “솔직히 마음에 안 든다. 우리처럼 하루 벌어 하루 먹고 사는 사람들 처지에선 배부른 소리로밖에 안 보인다”며 “협력업체의 노동 조건이나 상생에 대한 얘기는 일언반구도 없이 결국 자기들 돈 더 달라는 얘기만 해 씁쓸하다”라고 말했다.   "
"삼성전자 노조 ""성과급 상한 폐지...4만 명 참석""","삼성전자 노조, 총파업 앞두고 투쟁 결의대회삼성 노조 ""4만 명 참석""…8차선 도로 1㎞ 꽉 채워삼성전자 직원 3명 중 1명 참석…""성과급 개편""[앵커] 삼성전자 노조가 5월 총파업을 앞두고, 오늘 평택 사업장 앞에서 투쟁 결의대회를 열었습니다.노조는 성과급 제도 개편과 상한제 폐지 등을 주장하며 회사에 대한 압박 수위를 높였습니다.평택 현장에 나가 있는 취재기자 연결합니다.박기완 기자!네, 박 기자 뒤로 정말 많은 사람들이 보이는데 현장 분위기 어떻습니까?[기자] 네, 삼성전자 노조 공동투쟁본부는 오후 2시부터 이곳에서 투쟁 결의대회를 진행하고 있습니다.제가 서 있는 이곳 왕복 8차선 도로에서 1km 가까이 되는 구간을 삼성전자 조합원들이 가득 채우고 있습니다.노조는 4만 명에 달하는 조합원이 오늘 결의대회에 참석했다고 추산하고 있습니다.삼성전자 임직원이 12만8천 명에 달하는 점을 감안하면, 직원 3명 중 1명은 오늘 집회에 참석한 셈입니다.노조는 이 자리에서 성과급 제도를 투명화하고 기존 상한제는 폐지하자고 주장하고 있습니다.또, 영업이익의 15%를 성과급 재원으로 활용할 것을 요구하고 있습니다.올해 삼성전자 영업이익이 예상대로 300조 원을 기록한다면, 대략 45조 원 규모의 성과급을 요구하는 셈입니다.회사가 이를 수용하지 않는다면. 노조는 5월 21일부터 18일간 총파업을 진행한다는 계획입니다.[앵커] 가장 걱정되는 건 경제적 피해인데, 실제 생산 차질이 빚어질 가능성이 큰 겁니까?[기자] 네, 그렇습니다.오늘 이곳에 참석한 조합원 4만 명이 모두 파업에 동참한다면 일부 생산 차질은 불가피해 보입니다.특히 노조 가입 비중이 높은 반도체 사업부문의 경우 피해가 더 클 것으로 예상됩니다.2년 전 삼성전자 노조의 첫 파업 당시에는 참여 인원이 많지 않아서 대체 인력 투입으로 생산 차질은 면할 수 있었습니다.하지만 다음 달 총파업에 반도체 부문 직원의 절반 이상이 참여한다면 생산 라인이 중단될 수밖에 없습니다.노조는 실제 반도체 생산이 멈춘 뒤 다시 재가동할 때까지 2주 이상이 더 소요돼, 최대 30조 원의 손실이 발생할 것으로 추산하고 있습니다.여기에 글로벌 메모리반도체 시장에도 타격이 예상됩니다.삼성전자는 전세계 메모리 반도체 생산량의 30% 이상을 차지하고 있고, 대부분이 이곳 평택과 화성 사업장에서 공급되고 있기 때문입니다.KB증권은 3만 명 이상이 파업에 참여할 경우, 전 세계 D램 공급량은 3~4% 감소하고, 낸드 플래시 공급량은 2~3% 줄어들 것으로 전망했습니다.특히 메모리 반도체 공급 부족으로 1년 전보다 D램 가격은 2배, 낸드플래시는 3배 이상 뛰면서 메모리가 탑재되는 최근 가전 제품 가격까지 치솟고 있습니다.이런 가운데 삼성전자 파업이라는 변수로 메모리 반도체 가격이 또 한 번 치솟을 수 있다는 분석도 나옵니다.지금까지 삼성전자 평택 캠퍼스에서 YTN 박기완입니다.※ '당신의 제보가 뉴스가 됩니다'[카카오톡] YTN 검색해 채널 추가[전화] 02-398-8585[메일] social@ytn.co.kr"
"“평택 공장 진짜 주인은 주주”…삼성전자 주주들, 노조 파업에 ‘맞불 집회’ [현장영상]","삼성전자 노동조합이 오늘(23일) 오후 평택사업장에서 결의대회를 열고 총파업을 예고한 가운데, 소액주주들이 맞불집회를 열었습니다.그제(21일) 설립된 대한민국 주주운동본부 민경권 대표는 ""등기부상 평택공장의 지분을 갖고 있는 진짜 주인은 주주""라며 ""반도체 호황 사이클에서 공장을 멈춰 세우는 것은 삼성전자와 주주들에게 직접적인 피해를 주는 행위""라고 비판했는데요.""공장 폐쇄까지 가지 않고 집행부 선에서 원만히 타협해 주주들이 안심할 수 있게 해달라""고 촉구했습니다."
"삼성SDS, 1분기 영업이익 783억…전년비 70.8% 감소","퇴직금 산정 기준 변경에 따른 일회성 퇴직급여비용 1120억원 반영[사진 삼성SDS][이코노미스트 원태영 기자]삼성SDS는 1분기 매출액 3조3529억원, 영업이익 783억원의 잠정실적을 발표했다. 전년 동기 대비 매출액은 3.9% 감소했으며, 퇴직금 산정 기준 변경에 따른 퇴직급여비용 충당 1120억원을 일시에 반영한 영향으로 영업이익은 70.8% 감소했다.IT서비스 사업 부문 매출액은 전년 동기 대비 소폭 증가한 1조6105억원으로 집계됐다.클라우드 사업 매출액은 지난해 같은 기간에 비해 5.8% 성장한 6909억원을 달성해 ITO 사업 매출을 넘어서며 IT서비스 사업 부문에서 가장 높은 매출 비중을 차지했다.클라우드 사업 중 삼성 클라우드 플랫폼(SCP) 기반 CSP 사업은 공공 업종 AX 수요 확대에 따른 GPUaaS(GPU as a Service) 증가와 클라우드 네트워크 서비스 확대에 힘입어 전년 동기 대비 12% 성장했다. MSP 사업은 금융, 공공 업종 매출 상승과 글로벌 파트너사 협력 확대로 전년 동기 대비 4% 성장했다.물류 사업에서는 Cello Square(첼로스퀘어) 매출이 30% 이상 증가했지만 물동량 감소와 운임 하락 영향으로 매출액이 전년 동기 대비 7.8% 감소한 1조 7,424억 원을 기록했다.2분기에는 공공 업종 GPUaaS 증가, 금융 업종 매출 상승, 범정부향 지능형 AI 서비스 확산 등 클라우드 사업 확대로 실적 개선이 전망된다.삼성SDS는 AI 인프라, AX∙AI 서비스, AI 플랫폼/솔루션을 아우르는 AI 풀스택 전략을 추진하고 전략적 M&A 등을 위하여, 글로벌 선도 투자기업 KKR과 협력을 통해 확보한 신규 자금 1.2조 원과 현금성 자산 6.6조 원 등을 바탕으로 2031년까지 10조 원을 투자할 방침이다.구미 AI 데이터센터와 국가 AI컴퓨팅센터를 비롯해 시장 수요에 따른 신규 AI 데이터센터 등을 위하여 AI 인프라에 5조 원을 투자할 계획이다.AX∙AI 서비스와 AI 플랫폼/솔루션의 사업 경쟁력을 강화하기 위해 1조 원을 투자하며, 더불어 4조 원을 투자해 신성장 동력 확보와 글로벌 거점 확장을 위한 전략적 M&A를 적극 추진할 예정이다.한편, 지난 1월 2025년 실적 발표에서 새롭게 추진한다고 밝힌 DBO 사업은 현재 국내 대형 자산운용사가 개발하는 데이터센터 사업의 개념 설계를 수주해 진행하고 있다."
"삼성전자 ""안전보호시설 정상 운영은 법률상 의무""…노조에 요청","""안전보호시설, 정상적으로 운영돼야""[서울=뉴시스] 황준선 기자 = 서울 삼성전자 서초사옥 모습. 2026.03.18. hwang@newsis.com[서울=뉴시스] 홍세희 기자 = 삼성전자가 노조의 총파업을 앞두고 사내게시판에 '안전보호시설 유지 운영'의 필요성을 설명하는 공지문을 올렸다.총파업 기간에도 안전보호시설 유지 운영과 원료·제품의 변질 또는 부패를 방지하기 위한 작업을 위해 일부 직원의 정상적인 업무 수행을 요구한 것이다.23일 업계에 따르면 삼성전자는 최근 사내게시판에 공지문을 올리고 ""반도체 사업장의 안전보호시설 등에 관여하는 직원들만이라도 정상적으로 업무에 임해 달라""고 요청했다.삼성전자는 유독성·가연성 가스와 화학물질을 대량 취급하는 반도체 사업장에서 안전보호시설의 정상 운영은 노동조합법이 정한 법적 의무라고 판단했다.노동조합법 제42조 2항은 사업장 안전보호시설의 정상적인 유지·운영을 정지·폐지 또는 방해하는 행위를 금지하고 있다.삼성전자는 특히 안전보호시설과 관련해 법률이 요구하는 수준은 '최소 유지'가 아닌 '정상적 유지·운영'이라고 설명했다.반면, 노조는 삼성전자의 이같은 요구에 대해 ""필수공익사업의 필수유지업무 개념을 일반 사업장에 잘못 적용한 것""이라며 ""노조법은 안전보호시설의 유지운영을 방해하지 말라는 취지일 뿐, 전 인력을 평시와 동일하게 근무시키거나 100% 운영을 요구할 수 있는 근거는 없다""고 반박했다.이어 ""안전보호시설의 본래 기능을 유지하기 위한 필수 인력을 제외한 모든 조합원의 쟁의행위 참여는 법률상 철저히 보장된 정당한 권리 행사""라며 ""사측은 필요 인원 산정 기준과 방식을 명확히 밝히고, 안전보호시설을 정상적으로 운영하는 범위 내 최소 근무 인원 기준에 입각해 재검토하라""는 내용의 공문을 보냈다. 삼성전자는 이같은 노조의 주장에 대해서도 ""필수공익사업장의 필수유지업무와 일반 사업장의 안전보호시설 개념을 혼동하고 있다""고 지적했다.필수유지업무는 법률상 '필요 최소한의 유지'를 전제로 하지만, 안전보호시설은 이보다 엄격한 '정상적 유지·운영'을 요구하는 별개 영역이라는 것이다.이에 따라 평일에는 평일 수준으로, 휴일에는 휴일 수준으로 시설이 정상 가동돼야 한다는 것이 회사의 일관된 입장이라는 설명이다.한편 삼성전자는 반도체 사업장의 안전보호시설이 정상 작동되지 않으면, 지역사회 안전 문제로도 번질 수 있는 만큼 노조가 법적 의무를 이행해야 한다고 거듭 요청하고 있다.삼성전자는 그동안 노조에 안전보호시설 관련 협조를 여러 차례 요청하고, 업무 범위와 운영 필요성에 대해서도 지속적으로 설명한 것으로 알려졌다.삼성전자는 안전보호시설 유지는 임직원과 지역사회의 안전을 위한 법적 의무인 만큼 반도체 생산 차질이 고객사 피해와 협력사 부담, 글로벌 공급망 혼선, 국가 경제 전반의 부담으로 번지지 않도록 해야 한다고 강조했다.삼성전자 관계자는 ""임직원과 지역사회의 안전을 지키는 한편, 고객사 피해와 납기 차질, 글로벌 공급망 혼선, 국가 경제에 미칠 부담을 줄이기 위해 법과 원칙에 따라 대응해 나가겠다""고 밝혔다."
“7000시대 가시화?” 삼전·SK하이닉스 ‘이익 100조’ 시대,"반도체 ‘슈퍼 서프라이즈’에 7000 가시화삼성·SK하이닉스 ‘이익 폭발’에 증시 환호JP모건·골드만삭스 “8000~8500까지 직진”코스피가 사상 처음으로 6500고지를 넘어서며 꿈의 지수로 불리던 ‘7000피’ 시대를 향한 거침없는 질주를 시작했다.22일 오후 서울 중구 하나은행 딜링룸 전광판에 코스피지수 증시 종가 시황이 나타나고 있다.? 이날 코스피 지수는 전거래일 대비 29.46(0.46%) 포인트 상승한 6417.93으로 장을 마감했다./2026.4.22 사진=한경 김범준 기자중동발 지정학적 리스크에도 불구하고 반도체 업황의 폭발적인 개선 증시를 끌어올린 덕분이다.23일 한국거래소에 따르면 코스피는 장중 6,557.76까지 치솟으며 사상 최고치를 경신했다. 지수 상승의 주역은 삼성전자와 SK하이닉스였다.삼성전자가 1분기 영업이익 57조 2000억 원이라는 ‘역대급’ 성적표를 내놓은 데 이어 이날 SK하이닉스도 전년 대비 405.5% 증가한 37조 6000억 원의 영업이익을 발표하며 시장의 기대를 압도했다.인공지능(AI) 인프라 투자 확대로 인한 메모리 수요가 실적으로 증명되자 외인과 기관의 매수세가 집중됐다.대외 여건도 긍정적이다. 뉴욕증시 필라델피아반도체지수가 16일 연속 상승하는 등 글로벌 기술주 강세가 국내로 전이됐다.‘월가의 아인슈타인’ 피터 터크먼은 “시장은 이제 이란 전쟁 영향권에서 완전히 벗어났다”며 유가 변수 외에는 상승세가 지속될 것으로 내다봤다.실제로 이날 한국은행이 발표한 1분기 실질 국내총생산(GDP) 성장률(직전분기대비·속보치)은 1.7%로 시장 전망치의 두 배에 달해 탄탄한 기초 체력을 입증했다.글로벌 투자은행(IB)들의 눈높이도 가파르게 올라가고 있다. 골드만삭스는 최근 코스피 목표치를 8000으로 상향했고 JP모건은 2월 초 7500으로 제시했던 목표치를 최고 8500까지 조정하며 한국 증시의 저평가 해소를 예고했다."
