도메인,카테고리,대화셋일련번호,화자,문장번호,고객의도,상담사의도,QA,고객질문(요청),상담사질문(요청),고객답변,상담사답변,개체명 ,용어사전,지식베이스
다산콜센터,대중교통 안내,B2033,고객,5,버스정류장,,Q,어느정류장에서 타야합니까?,,,문성초등학교 정류장에서 탑승하시면 됩니다.,정류장,,정류장
다산콜센터,대중교통 안내,B2033,고객,7,버스요금,,Q,버스요금은 얼마입니까?,,,1200원 입니다.,"버스, 요금",버스/교통수단/ 요금/돈,"요금,돈"
다산콜센터,대중교통 안내,B2034,고객,1,버스노선,,Q,서울역에서 서울대학교가는 버스노선을 알고싶습니다.,,,"서울역에서 서울대학교로 가는 버스노선은 750A, 750B 버스입니다.","서울, 역, 서울대학교, 버스, 노선",서울/지명/ 역/역사/ 서울대학교/지명/ 버스/교통수단,"역,교통수단"
다산콜센터,대중교통 안내,B2034,고객,3,버스시간,,Q,시간은 얼마정도 걸립니까?,,,약 1시간 10분정도 걸립니다.,시간,,시간
다산콜센터,대중교통 안내,B2034,고객,5,버스정류장,,Q,어느정류장에서 타야합니까?,,,서울역버스환승센터 정류장에서 탑승하시면 됩니다.,정류장,,정류장
다산콜센터,대중교통 안내,B2034,고객,7,버스요금,,Q,버스 요금은 얼마입니까?,,,교통카드로 1200원 입니다.,"버스, 요금",버스/교통수단/ 요금/돈,"요금,돈"
다산콜센터,대중교통 안내,B2035,고객,7,버스노선,,Q,지하철로 환승하는 길은 없습니까?,,,"지하철로 환승하려면 7-1, 301, 5, 310 버스를 타고 수원역 정류장에서 1호선으로 갈아타시면 됩니다.",지하철,지하철/교통수단,"지하철,교통수단"
다산콜센터,대중교통 안내,B2036,고객,7,버스시간,,Q,시간은 얼마나 걸립니까?,,,1시간 15분정도 걸립니다.,시간,,시간
다산콜센터,대중교통 안내,B2036,고객,9,버스시간,,Q,막차 시간은 언제입니까?,,,오후 8시입니다.,"막차, 시간",,시간
다산콜센터,대중교통 안내,B2037,고객,5,버스요금,,Q,요금은 얼마입니까?,,,"2,800원 입니다.",요금,요금/돈,"요금,돈"
다산콜센터,대중교통 안내,B2038,고객,7,버스노선,,Q,얼마나 걸립니까?,,,1시간 30분 정도 걸립니다.,,,
다산콜센터,대중교통 안내,B2038,고객,9,버스노선,,Q,더 빨리가는 길은 없습니까?,,,지하철을 이용하면 더 빨리갈수 있습니다.,,,
다산콜센터,대중교통 안내,B2038,고객,11,지하철노선,,Q,지하철은 어떻게 갑니까?,,,2호선을 타고 사당역으로 가서 4호선으로 환승하시면 됩니다.,지하철,지하철/교통수단,"지하철,교통수단"
다산콜센터,대중교통 안내,B2038,고객,13,지하철노선,,Q,지하철은 얼마나 걸립니까?,,,45분정도 걸립니다.,지하철,지하철/교통수단,"지하철,교통수단"
다산콜센터,대중교통 안내,B2039,고객,1,버스노선,,Q,중앙대학교에서 대법원으로 가는 버스를 알고싶습니다,,,350번 버스를 타면 갈수있습니다.,"중앙대학교, 대법원, 버스",중앙대학교/공공기관/ 대법원/공공기관/ 버스/교통수단,"대법원,교통수단"
다산콜센터,대중교통 안내,B2039,고객,3,버스시간,,Q,법원까지 얼마나 걸립니까?,,,1시간 정도 걸립니다.,법원,법원/공공기관,"법원,공공기관"
다산콜센터,대중교통 안내,B2039,고객,5,버스요금,,Q,비용은 얼마입니까?,,,1300원입니다.,비용,비용/돈,"비용,돈"
다산콜센터,대중교통 안내,B2040,고객,1,버스노선,,Q,독산동에서 인사동으로 가는 버스를 알고싶습니다.,,,650번 버스를 타면 갈수있습니다.,"독산동, 인사동, 버스",독산동/동네/ 인사동/동네/ 버스./교통수단,"인사동,교통수단"
다산콜센터,대중교통 안내,B2040,고객,3,버스시간,,Q,인사동까지 얼마나 걸립니까?,,,1시간반 정도 걸립니다.,인사동,인사동/동네,"인사동,동네"
다산콜센터,대중교통 안내,B2040,고객,5,버스요금,,Q,가는데 비용은 얼마입니까?,,,1400원입니다.,비용,비용/돈,"비용,돈"
